Net_Income_to_Total_Assets,ROA(A)_before_interest_and_%_after_tax,ROA(B)_before_interest_and_depreciation_after_tax,ROA(C)_before_interest_and_depreciation_before_interest,Net_worth/Assets,Debt_ratio_%,Persistent_EPS_in_the_Last_Four_Seasons,Retained_Earnings_to_Total_Assets,Net_profit_before_tax/Paid-in_capital,Per_Share_Net_profit_before_tax_(Yuan_¥),Current_Liability_to_Assets,Working_Capital_to_Total_Assets,Net_Income_to_Stockholder's_Equity,Borrowing_dependency,Current_Liability_to_Current_Assets,Liability_to_Equity,Net_Value_Per_Share_(A),Net_Value_Per_Share_(B),Net_Value_Per_Share_(C),Current_Liability_to_Equity,Current_Liabilities/Equity,Working_Capital/Equity,Operating_Profit_Per_Share_(Yuan_¥),Operating_profit/Paid-in_capital,Liability-Assets_Flag,Total_expense/Assets,Equity_to_Long-term_Liability,CFO_to_Assets,Tax_rate_(A),Cash/Total_Assets,Gross_Profit_to_Sales,Operating_Gross_Margin,Bankrupt?
0.801097828092278,0.540667248146533,0.523636168959794,0.471944620484571,0.848414306013242,0.151585693986758,0.218209322114021,0.937401606977886,0.172355026016138,0.173307223017248,0.158234836969352,0.843108933949488,0.840528808951814,0.379066079452809,0.0291282673371221,0.281732609855561,0.17508743837175,0.17508743837175,0.17508743837175,0.334724686957868,0.334724686957868,0.739743841442736,0.0987704584317238,0.0987265295487485,0,0.0075830833238229,0.110933233663468,0.563210451891725,0.134730235853831,0.175664289981308,0.607519567144635,0.607518125081077,0
0.808594999716078,0.554186655037069,0.558702285989614,0.507093062935699,0.91017927865284,0.0898207213471597,0.228892880779049,0.935812828716264,0.179518889978131,0.180688408526022,0.0313738331201044,0.806480248738688,0.840883599203702,0.373599532972625,0.0160811158868929,0.277676392597276,0.208714339892967,0.208714339892967,0.208714339892967,0.327370170913091,0.327370170913091,0.735241546561532,0.109600195423825,0.109596625791848,0,0.013273165327102,0.119485151766175,0.597712526145153,0.192630833080271,0.0412595909098634,0.611966815185922,0.611971922339613,0
0.806938523628576,0.550425207152202,0.55693559612399,0.503924340662019,0.931765274964477,0.0682347250355232,0.219060225016545,0.935009379430044,0.173131739687806,0.174662950967839,0.059467956969493,0.85072625315863,0.840704192073121,0.370828235473055,0.0166320705004881,0.27677285131302,0.171126374784038,0.171126374784038,0.171126374784038,0.328222126714298,0.328222126714298,0.737311150661476,0.101376109437342,0.101161105411435,0,0.0171940896059154,0.112516022683999,0.597064759345302,0.150116408543375,0.0734879347520447,0.605784646293668,0.605788495077761,0
0.771690697022871,0.49852812908853,0.50334600353338,0.451274801345488,0.823442271064486,0.176557728935514,0.207336673915099,0.923341425628684,0.157197798054445,0.158168260902312,0.153054987404575,0.713068403366337,0.837266802693434,0.381590219265774,0.0666755181416598,0.284544973612874,0.159369600943913,0.159369600943913,0.159369600943913,0.336150045071056,0.336150045071056,0.72810028924832,0.0969790733653611,0.0969433452212288,0,0.0369523820956696,0.115667230822265,0.560915352729316,0.0,0.009048965487728,0.598435919124087,0.598437567563672,0
0.837381635655452,0.613606628870475,0.596445205846137,0.533417832593965,0.866886356078242,0.133113643921758,0.246478207431219,0.945087004111832,0.193296131513461,0.194245688031935,0.110043390144483,0.870384842877635,0.843529194537841,0.371201767904394,0.0216651091135012,0.280201149463183,0.185495765033079,0.185495765033079,0.185495765033079,0.331456380942421,0.331456380942421,0.740913389470339,0.134191026789349,0.134211083426971,0,0.0397645475746883,0.115088701656162,0.634184976158632,0.0,0.214951176639313,0.613937349357275,0.613939376468384,0
0.814205740066615,0.563781072830353,0.548583971304674,0.49958562862575,0.818242283157481,0.181757716842519,0.233052850524723,0.937464847012142,0.186878817585401,0.18799427581532,0.138604239387103,0.815792822785279,0.842221714922649,0.377674838900159,0.0315922662645303,0.285282078464238,0.183599511187898,0.183599511187898,0.183599511187898,0.335614705619948,0.335614705619948,0.738869366184689,0.117905708004234,0.11785301350009,0,0.0449966142511911,0.121689564626528,0.57369557191128,0.139184127948173,0.0922551440147023,0.615920027781371,0.615921244180516,0
0.778903887964616,0.505778456170955,0.498581294501847,0.450641056890752,0.868881700275116,0.131118299724884,0.202798525101636,0.925729180754983,0.161918407359928,0.162386081193041,0.100323165600085,0.841407487001643,0.838622579769947,0.371230845279288,0.0239036622978068,0.280054444541193,0.176098773755847,0.176098773755847,0.176098773755847,0.330932342379341,0.330932342379341,0.738655758114285,0.101457536031268,0.100916833585748,0,0.0545667134058044,0.115167088605771,0.599728405148151,0.0,0.113356968688674,0.60286233460933,0.602862537655487,0
0.844582929911345,0.645061055385957,0.635044702607206,0.582703651343051,0.897783958641957,0.102216041358043,0.245060035927011,0.949841022162268,0.195203981600181,0.20689914890412,0.107620231089407,0.882977878505336,0.843488847743089,0.36963718146295,0.0202044116130435,0.27828528381616,0.183388816316211,0.183388816316211,0.183388816316211,0.330522607469338,0.330522607469338,0.740287939419155,0.115788616562169,0.115809272558503,0,0.0408726314562072,0.110933233663468,0.617257735799114,0.0726794209940277,0.46749660989164,0.605254733950177,0.605255192493406,0
0.819507098997492,0.572939380723942,0.561753841212056,0.516452981036416,0.864225897149076,0.135774102850924,0.26500898175286,0.946189661357633,0.225706960259407,0.22663252240717,0.0946481085712012,0.841998834234186,0.842056468844618,0.372916214662602,0.0231197941801521,0.28039897520764,0.301588639332519,0.301588639332519,0.301588639332519,0.33079316309335,0.33079316309335,0.738894725689071,0.143229378715088,0.143175859429707,0,0.0118137428619359,0.11891488198046,0.594586663139875,0.240611397914769,0.126653459821925,0.600300835389987,0.600304126608916,0
0.834650289196485,0.600959441779328,0.586808715670004,0.543021498561888,0.919642047344076,0.080357952655924,0.256216318426775,0.946450037746998,0.21234446874293,0.214280334412895,0.0858967998607269,0.856188843463531,0.842508512372575,0.371280053144494,0.0202220535652779,0.277257664291207,0.241667017824786,0.241667017824786,0.241667017824786,0.329295811499141,0.329295811499141,0.737922447645226,0.143066525527237,0.143037438728484,0,0.0145241498543922,0.110933233663468,0.633789263217261,0.197692074096568,0.0933126172910958,0.605353644413701,0.605356087576933,0
